@relation 'train_clean-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.047pixel_576+0.047pixel_516+0.047pixel_786+0.047pixel_544+0.046pixel_548... numeric
@attribute -0.05pixel_48-0.05pixel_16-0.05pixel_17-0.05pixel_18-0.05pixel_49... numeric
@attribute -0.09pixel_525-0.089pixel_526-0.088pixel_523-0.087pixel_524-0.086pixel_522... numeric
@attribute -0.083pixel_323-0.08pixel_291-0.077pixel_388-0.074pixel_259-0.074pixel_355... numeric
@attribute -0.114pixel_834-0.112pixel_802-0.108pixel_866+0.105pixel_230-0.105pixel_770... numeric
@attribute -0.105pixel_99-0.092pixel_935-0.09pixel_67-0.086pixel_131-0.086pixel_98... numeric
@attribute -0.142pixel_260-0.139pixel_228-0.137pixel_772-0.135pixel_292-0.13pixel_804... numeric
@attribute 0.122pixel_1023+0.111pixel_1022+0.109pixel_1020+0.108pixel_996+0.101pixel_1021... numeric
@attribute -0.131pixel_809-0.123pixel_840-0.119pixel_776-0.111pixel_777-0.11pixel_841... numeric
@attribute '0.106pixel_263+0.086pixel_411-0.085pixel_646+0.081pixel_443+0.08 pixel_314...' numeric
@attribute '-0.121pixel_231+0.11 pixel_808+0.105pixel_433-0.105pixel_806-0.101pixel_199...' numeric
@attribute 0.147pixel_401+0.115pixel_433+0.109pixel_498+0.102pixel_497+0.096pixel_530... numeric
@attribute -0.128pixel_166-0.121pixel_134-0.121pixel_71-0.113pixel_102-0.106pixel_198... numeric
@attribute -0.094pixel_629-0.092pixel_502-0.091pixel_604-0.089pixel_636-0.087pixel_791... numeric
@attribute -0.118pixel_520-0.111pixel_519-0.106pixel_552-0.104pixel_551+0.103pixel_1024... numeric
@attribute 0.121pixel_538+0.101pixel_872+0.101pixel_474+0.098pixel_506+0.097pixel_570... numeric
@attribute -0.124pixel_638-0.123pixel_670-0.103pixel_606-0.102pixel_702+0.099pixel_871... numeric
@attribute '-0.116pixel_426-0.112pixel_626+0.11 pixel_689-0.106pixel_427-0.104pixel_396...' numeric
@attribute -0.128pixel_403-0.119pixel_62-0.114pixel_281-0.11pixel_63-0.11pixel_29... numeric
@attribute 0.139pixel_433+0.121pixel_496+0.115pixel_464+0.107pixel_401+0.103pixel_659... numeric
@attribute -0.145pixel_1023-0.125pixel_1024-0.117pixel_990+0.114pixel_872-0.113pixel_992... numeric
@attribute -0.162pixel_295-0.13pixel_743-0.104pixel_297-0.103pixel_627-0.103pixel_872... numeric
@attribute 0.144pixel_403+0.126pixel_625+0.113pixel_690+0.105pixel_371-0.101pixel_337... numeric
@attribute 0.142pixel_409-0.126pixel_665-0.124pixel_697+0.119pixel_872-0.111pixel_464... numeric
@attribute -0.175pixel_337+0.114pixel_627-0.106pixel_338-0.104pixel_306+0.096pixel_563... numeric
@attribute '-0.12pixel_434+0.11 pixel_777-0.101pixel_338-0.1pixel_358-0.097pixel_729...' numeric
@attribute -0.136pixel_807-0.13pixel_1024-0.112pixel_457-0.102pixel_312+0.102pixel_391... numeric
@attribute -0.139pixel_560-0.128pixel_592+0.111pixel_690-0.109pixel_936-0.108pixel_378... numeric
@attribute '0.122pixel_402+0.12 pixel_312+0.118pixel_625+0.113pixel_370+0.111pixel_280...' numeric
@attribute 0.125pixel_401+0.119pixel_345-0.112pixel_625-0.101pixel_593+0.094pixel_594... numeric
@attribute '0.124pixel_648+0.123pixel_104+0.109pixel_556+0.101pixel_105+0.1  pixel_662...' numeric
@attribute -0.113pixel_625+0.107pixel_839-0.106pixel_166-0.1pixel_72-0.099pixel_690... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 14.959477,1 2.185874,2 3.006579,3 1.037473,4 -1.417601,5 -0.049752,6 1.86505,7 -0.785081,8 0.088803,9 -0.376022,10 1.038154,11 1.706286,12 -0.192251,13 -1.291721,14 0.019118,15 -2.407361,16 -0.150256,17 -0.257085,18 0.101636,19 -0.106994,20 -0.598179,21 1.22969,22 -0.513548,23 0.072972,24 -0.331909,25 0.463737,26 -0.085283,27 0.540529,28 0.143289,29 -0.188802,30 0.251743,31 -0.015861,32 10}
{0 8.262195,1 -3.941058,2 -0.927442,3 0.897711,4 -0.720193,5 -0.084895,6 1.068638,7 0.379983,8 0.727721,9 -0.340289,10 0.482771,11 0.903779,12 0.527631,13 -0.377111,14 -0.11066,15 -0.406805,16 0.295373,17 -0.083325,18 -0.056308,19 1.01111,20 0.515724,21 -0.628806,22 -0.419566,23 0.196469,24 -0.209882,25 -0.102037,26 0.002076,27 -0.183847,28 0.017909,29 0.114679,30 -0.137078,31 -0.328184,32 8}
{0 1.888886,1 -0.377266,2 -1.854937,3 0.3143,4 -0.928793,5 -0.422159,6 -0.695466,7 0.82512,8 -0.710559,9 -0.828502,10 -0.04328,11 0.629776,12 -0.532312,13 -0.757492,14 -0.728992,15 0.123892,16 -0.311875,17 -0.304745,18 -0.162334,19 0.832781,20 -0.194118,21 0.685071,22 0.686414,23 0.329358,24 0.288667,25 0.0902,26 0.163066,27 -0.060622,28 0.186446,29 -0.284055,30 0.629643,31 -0.192937,32 7}
{0 8.398424,1 5.882194,2 1.906996,3 2.435593,4 -1.723491,5 -1.960288,6 0.421934,7 -0.257097,8 1.324439,9 -0.359203,10 -0.100274,11 -0.02027,12 -0.822023,13 -0.483098,14 -0.382711,15 0.148554,16 0.36776,17 -0.563202,18 0.251107,19 0.905186,20 -1.002647,21 0.284009,22 0.283238,23 -0.28455,24 -0.635192,25 -0.576276,26 -0.013873,27 -0.258302,28 0.181258,29 -0.184215,30 0.441396,31 0.262754,32 7}
{0 14.288196,1 5.275059,2 -4.545651,3 4.163142,4 -2.459174,5 0.965037,6 0.076269,7 -0.252167,8 0.220056,9 -1.004879,10 0.791421,11 -0.740504,12 -0.304329,13 0.330219,14 0.140016,15 0.163451,16 -0.031379,17 1.191876,18 -0.253409,19 0.294821,20 -0.079659,21 1.297057,22 -0.517172,23 0.770587,24 0.07986,25 -0.523827,26 -0.061845,27 0.2667,28 -0.190911,29 0.439215,30 -0.192084,31 -0.188271,32 10}
{0 15.853707,1 -2.155577,2 -0.746338,3 0.856871,4 -1.594129,5 -1.060155,6 -0.572112,7 -0.390813,8 0.057005,9 0.102029,10 -1.079644,11 1.448834,12 -0.803686,13 -0.262761,14 0.158171,15 -0.674197,16 -0.263557,17 0.480004,18 -0.230774,19 0.478537,20 0.408986,21 0.326722,22 -0.142957,23 0.254232,24 -0.479074,25 -0.359664,26 0.364171,27 0.040901,28 -0.027096,29 0.044675,30 0.253529,31 -0.636834}
{0 1.128479,1 1.10695,2 1.106203,3 1.083852,4 -0.077437,5 -1.111098,6 0.461794,7 0.95616,8 0.594278,9 0.229732,10 0.167625,11 -0.185445,12 -0.259171,13 0.31543,14 0.045318,15 -0.372331,16 -0.46465,17 0.340215,18 0.542772,19 0.354579,20 0.235612,21 0.28072,22 -0.164676,23 0.255913,24 -0.301838,25 0.284713,26 -0.373503,27 0.347653,28 -0.128892,29 -0.49133,30 0.256619,31 -0.455709,32 5}
{0 6.186342,1 4.668568,2 -2.857946,3 4.033489,4 -1.353885,5 1.734103,6 -1.59998,7 -0.434888,8 0.390654,9 0.615087,10 0.164793,11 0.667697,12 -0.405263,13 -0.321807,14 0.468042,15 0.469164,16 0.056188,17 -0.68677,18 -0.743449,19 1.602416,20 1.126718,21 0.993271,22 -0.288033,23 -0.458811,24 -0.288187,25 -0.284144,26 0.637576,27 -0.201723,28 0.78029,29 -0.953802,30 0.037942,31 -0.381305,32 3}
{0 13.780272,1 -1.99513,2 -5.846581,3 3.238018,4 -1.549406,5 -0.156042,6 0.737992,7 0.573001,8 0.015811,9 -0.318969,10 0.841726,11 -0.9863,12 -0.156964,13 0.142251,14 -0.129237,15 0.178775,16 -0.595084,17 1.050404,18 -0.447669,19 0.085631,20 -0.167933,21 0.793859,22 -0.098239,23 0.176741,24 -0.558618,25 -0.589149,26 0.280089,27 -0.363602,28 0.387049,29 0.444943,30 -0.252849,31 -0.157462,32 10}
{0 3.228023,1 3.376578,2 2.632411,3 2.412722,4 -0.43328,5 -2.736757,6 1.358393,7 1.132057,8 1.2671,9 0.402302,10 0.355946,11 -0.381168,12 -0.358661,13 0.101642,14 -0.616373,15 -0.67991,16 -1.1904,17 0.645328,18 1.213203,19 1.284828,20 1.370326,21 0.635492,22 0.08227,23 0.579859,24 -1.028014,25 0.483341,26 -0.365157,27 0.391749,28 0.123476,29 -0.386906,30 0.6095,31 -0.561148,32 5}
{0 12.225035,1 -2.272671,2 -2.629997,3 1.201241,4 -1.421569,5 0.000204,6 1.400111,7 0.265541,8 0.966427,9 -0.71933,10 0.403169,11 1.526984,12 0.480906,13 -0.293301,14 -0.389435,15 -0.575262,16 0.909244,17 0.322156,18 -0.014951,19 1.155793,20 0.730179,21 -0.873756,22 -0.131326,23 0.142834,24 -0.784711,25 -0.194159,26 -0.303619,27 -0.351292,28 0.417571,29 0.137225,30 0.343691,31 -0.39313,32 8}
{0 6.538517,1 5.403122,2 2.031889,3 2.826757,4 -1.579269,5 -2.134772,6 0.274632,7 0.784689,8 -0.467062,9 0.272406,10 -0.126665,11 1.678439,12 -0.866593,13 -1.059894,14 -0.490222,15 0.433678,16 -0.455965,17 -0.508937,18 -0.070641,19 0.302874,20 0.055941,21 0.174815,22 -0.301263,23 0.632792,24 -0.892993,25 0.048801,26 0.872716,27 -0.871109,28 -0.008967,29 0.873422,30 -0.486503,31 0.058317}
{0 4.829618,1 4.344249,2 0.62454,3 3.987942,4 0.123241,5 -0.383737,6 -0.158996,7 0.075807,8 1.266051,9 1.685254,10 0.278697,11 0.46644,12 0.813192,13 -1.019049,14 0.331338,15 -0.600607,16 -0.383102,17 1.072831,18 0.100159,19 1.278756,20 0.934799,21 0.673148,22 -0.013323,23 0.217393,24 -0.539415,25 0.687099,26 0.206131,27 -0.049039,28 0.527875,29 -0.638296,30 1.290823,31 -0.344019,32 5}
{0 7.752098,1 4.21908,2 2.4646,3 1.265933,4 -1.258262,5 -1.910968,6 1.06,7 -0.283819,8 1.178144,9 -0.133558,10 0.109486,11 0.077402,12 -0.66687,13 -0.355006,14 -0.497063,15 0.618485,16 1.012802,17 -0.395444,18 0.042687,19 0.878228,20 -1.094608,21 0.38535,22 0.255228,23 -0.309797,24 -0.458438,25 -0.49688,26 -0.214472,27 -0.45068,28 0.170554,29 -0.341731,30 0.259814,31 0.270239,32 7}
{0 3.590104,1 -4.332283,2 -0.671972,3 2.833403,4 0.990339,5 -1.066964,6 0.024991,7 -0.967952,8 0.059996,9 0.04981,10 1.910189,11 0.991755,12 -2.418019,13 -0.529279,14 0.473983,15 -0.650302,16 -0.138453,17 -0.039074,18 0.095705,19 0.770523,20 -0.29795,21 0.170786,22 -0.095392,23 0.070542,24 -0.217764,25 -0.50556,26 0.627395,27 -0.262474,28 0.265552,29 0.164976,30 0.921529,31 -0.512853,32 5}
{0 14.414949,1 6.435529,2 0.377917,3 2.011942,4 -2.614935,5 -0.907013,6 -0.560484,7 -0.891304,8 -0.430098,9 -0.325192,10 -0.668903,11 1.910086,12 -1.264885,13 -1.316522,14 -0.610922,15 0.106957,16 -0.449647,17 -0.254212,18 -0.387586,19 0.515759,20 0.119695,21 0.37586,22 0.138684,23 0.366902,24 -0.506021,25 0.29824,26 0.472429,27 -0.399988,28 -0.234235,29 0.994436,30 -0.316668,31 -0.876687}
{0 17.427716,1 -0.023661,2 0.060068,3 4.83176,4 1.934761,5 -0.855129,6 -1.147294,7 1.131527,8 0.426481,9 -1.619491,10 -0.289886,11 1.465687,12 0.076751,13 0.015394,14 -0.677284,15 -0.683036,16 0.544941,17 0.313135,18 0.208679,19 0.124781,20 -0.048056,21 -0.165672,22 -0.390604,23 -0.149727,24 -0.545831,25 -0.052772,26 0.633864,27 -0.063269,28 0.216378,29 -0.291535,30 0.009502,31 -0.062002,32 2}
{0 18.340812,1 1.449202,2 0.12197,3 1.304337,4 -2.080069,5 -0.574488,6 0.106559,7 -0.22171,8 -1.298958,9 -0.227667,10 0.477849,11 1.950712,12 0.137709,13 0.274248,14 0.560196,15 -0.327736,16 -0.175582,17 -0.150641,18 0.901944,19 -0.091519,20 -0.008754,21 0.089674,22 0.79527,23 0.055503,24 0.037648,25 0.464366,26 0.531577,27 -0.005238,28 -0.105121,29 0.278051,30 0.377699,31 0.0007,32 3}
{0 12.900982,1 3.438783,2 -0.27671,3 3.581025,4 2.417355,5 -1.169734,6 -0.634685,7 -2.131775,8 2.014446,9 1.415497,10 0.213186,11 0.262239,12 0.92496,13 -0.887979,14 0.611242,15 0.046691,16 -0.185666,17 -0.401548,18 -0.267473,19 0.407283,20 0.099126,21 0.18742,22 0.01998,23 0.254881,24 -0.515017,25 0.060608,26 0.056657,27 0.14591,28 -0.283923,29 -0.075528,30 0.190491,31 -0.144222,32 5}
{0 1.338207,1 0.790147,2 -0.607472,3 0.807968,4 -0.436727,5 0.218095,6 -0.548862,7 0.387648,8 0.071505,9 -0.091598,10 -0.061191,11 0.305294,12 -0.197431,13 -0.370292,14 -0.2184,15 -0.073912,16 -0.328791,17 -0.139457,18 -0.118657,19 0.215091,20 -0.187585,21 -0.024843,22 0.277382,23 0.078878,24 -0.112941,25 0.098539,26 0.249647,27 -0.014915,28 0.249235,29 0.004937,30 0.180415,31 0.151468,32 4}
{0 16.413695,1 1.977445,2 1.546381,3 3.996986,4 1.023281,5 -1.233827,6 -1.368794,7 1.43445,8 0.608953,9 -1.746668,10 -0.065445,11 1.161267,12 0.225708,13 0.157096,14 -0.007001,15 -0.107533,16 0.111577,17 0.683201,18 0.007173,19 0.064968,20 0.008527,21 -0.192922,22 0.064743,23 -0.073725,24 -0.179075,25 -0.142933,26 0.472671,27 -0.221306,28 0.470033,29 -0.277855,30 0.001763,31 -0.280898,32 2}
{0 4.110046,1 4.327119,2 1.06168,3 3.888116,4 -0.661566,5 -0.817083,6 -0.207092,7 1.771928,8 -0.280272,9 1.455348,10 -0.128954,11 1.604749,12 0.232184,13 -1.669032,14 0.887161,15 -0.215458,16 -0.234366,17 1.451048,18 -0.061476,19 -0.062196,20 -0.140863,21 0.184765,22 -0.00381,23 0.136373,24 -0.202552,25 -0.753665,26 -0.153524,27 -0.392076,28 0.452819,29 0.00762,30 0.473151,31 -0.540718,32 2}
{0 3.266816,1 -1.897402,2 -1.392546,3 1.933107,4 1.31964,5 -0.711333,6 0.100479,7 -0.402755,8 0.256588,9 0.074575,10 1.284772,11 1.109941,12 -1.225298,13 -0.474182,14 0.213958,15 -0.305735,16 0.014184,17 -0.043066,18 -0.353757,19 0.870919,20 -0.332428,21 0.49604,22 -0.157224,23 -0.095847,24 -0.183462,25 -0.435807,26 0.597118,27 -0.2887,28 0.155352,29 0.043208,30 0.938839,31 -0.237502,32 5}
{0 14.671392,1 0.196633,2 1.839317,3 1.86835,4 0.288862,5 -0.026026,6 1.04335,7 -0.00618,8 0.781837,9 -1.813014,10 -0.71771,11 0.438168,12 -0.322745,13 -0.768124,14 1.566342,15 -0.43047,16 -0.221972,17 0.073463,18 0.507732,19 0.561989,20 0.293011,21 0.651518,22 0.661886,23 -0.394135,24 -0.202667,25 -0.523215,26 0.555448,27 -0.292732,28 0.009249,29 0.587231,30 0.105306,31 -0.111043,32 6}
{0 11.540377,1 6.874851,2 0.005149,3 5.415847,4 0.700037,5 -0.647381,6 -0.802697,7 0.346209,8 -0.21191,9 -0.34282,10 -0.598383,11 1.329194,12 0.726845,13 -1.162092,14 -0.40298,15 -0.594873,16 0.331297,17 1.523941,18 0.589367,19 -0.520047,20 -0.286623,21 -0.017654,22 0.099332,23 -0.109518,24 -0.286572,25 -0.781313,26 0.750695,27 -0.326194,28 0.254037,29 -0.048548,30 0.381361,31 -0.122129,32 2}
{0 7.717488,1 6.616095,2 -1.391427,3 5.003628,4 -1.276505,5 0.934379,6 -0.44982,7 -0.783915,8 3.567264,9 0.347431,10 -0.631094,11 0.7992,12 0.247172,13 0.978749,14 0.413565,15 -2.043167,16 0.359618,17 0.30219,18 -0.511774,19 1.007649,20 -0.443145,21 0.608697,22 0.898144,23 -0.464832,24 0.06244,25 1.207361,26 1.073144,27 -1.160932,28 0.687945,29 -0.147533,30 -0.193381,31 -0.655139,32 9}
{0 7.31154,1 -10.739561,2 -0.789709,3 6.229843,4 -2.222123,5 -2.668281,6 0.840793,7 0.727576,8 0.8406,9 0.326483,10 0.019921,11 0.116264,12 -0.056512,13 -0.570599,14 0.266612,15 0.151678,16 -0.386337,17 -0.198024,18 -0.90183,19 -0.111454,20 0.226517,21 -0.023772,22 0.64619,23 -0.4898,24 -0.07511,25 -0.325862,26 0.201693,27 -0.394209,28 -0.686481,29 0.169688,30 0.717421,31 0.227409,32 10}
{0 2.112614,1 -1.668559,2 -1.929049,3 1.055734,4 -0.187926,5 -1.009973,6 0.308469,7 0.202888,8 -0.015197,9 -1.027353,10 0.463812,11 1.481502,12 -0.545756,13 -0.646376,14 0.094236,15 0.191393,16 0.154743,17 0.339053,18 0.184641,19 1.670739,20 -0.29266,21 0.579135,22 0.381557,23 -0.456033,24 0.419369,25 0.08045,26 0.864688,27 0.225718,28 0.382945,29 -0.386604,30 0.496768,31 -0.38776,32 9}
{0 17.73017,1 0.161958,2 -3.176869,3 1.696689,4 -1.992085,5 -1.417581,6 -0.861075,7 -0.69984,8 0.532859,9 0.227513,10 -1.620697,11 1.041968,12 -1.41506,13 -0.538945,14 -0.019755,15 -0.464055,16 0.070979,17 0.849319,18 -0.373692,19 0.201842,20 0.445688,21 0.152274,22 0.062989,23 -0.378556,24 -0.728096,25 0.354276,26 -0.285787,27 0.245749,28 -0.279148,29 0.384463,30 0.271597,31 -0.228487}
{0 6.455614,1 1.903488,2 -2.911672,3 1.2263,4 -0.789136,5 0.173075,6 -2.288551,7 0.097036,8 1.229321,9 -1.442298,10 0.262394,11 0.722069,12 0.300013,13 -0.881153,14 -0.291418,15 -0.653802,16 -1.518894,17 -0.454776,18 0.314259,19 0.218609,20 -0.254678,21 0.29541,22 0.663559,23 -0.014983,24 -0.679524,25 0.095269,26 0.025291,27 -0.065751,28 0.299273,29 0.02852,30 -0.064725,31 -0.332131,32 4}
{0 1.270933,1 -1.86311,2 -0.115809,3 1.969819,4 -1.435611,5 -1.37497,6 -0.023962,7 -1.421594,8 -0.897923,9 -0.957429,10 -0.554066,11 0.298543,12 0.613509,13 0.011818,14 0.636702,15 -0.715224,16 0.268951,17 0.140347,18 -1.07078,19 0.568755,20 -0.74747,21 0.044423,22 -0.377188,23 0.44088,24 -1.465878,25 -0.642023,26 0.688562,27 0.041334,28 0.095541,29 -0.077667,30 0.20191,31 -0.550299,32 3}
{0 5.837859,1 5.86684,2 1.24348,3 4.173316,4 -1.978701,5 -1.587762,6 0.195839,7 1.508485,8 0.207151,9 1.367717,10 -0.453951,11 1.604152,12 -1.277448,13 -0.840735,14 0.011927,15 0.40003,16 0.056564,17 -0.591446,18 -0.144831,19 0.798802,20 0.373409,21 -0.134515,22 -0.107569,23 0.908466,24 -1.127656,25 0.406333,26 0.974286,27 -0.498214,28 0.147936,29 1.162295,30 -0.490045,31 0.241972}
{0 2.071315,1 -3.697068,2 1.967948,3 2.532488,4 -1.538415,5 0.749946,6 -1.033594,7 -0.974097,8 -0.091738,9 -0.396589,10 0.367212,11 0.683094,12 -0.363999,13 0.119389,14 -0.085801,15 -0.419788,16 -0.016524,17 0.38917,18 -0.619218,19 0.581098,20 -0.510463,21 0.593124,22 0.416883,23 0.746425,24 -1.11063,25 -0.619192,26 -0.301006,27 0.089538,28 -0.49139,29 0.819027,30 0.523578,31 -0.080187,32 2}
{0 9.937521,1 7.863674,2 -0.539119,3 4.33836,4 -2.693993,5 -0.193408,6 0.066487,7 -1.275657,8 3.243496,9 -0.340232,10 -0.507423,11 0.797293,12 -0.507995,13 1.156232,14 -0.334333,15 -1.480971,16 -0.012339,17 -0.025232,18 -0.325062,19 0.209148,20 -0.154308,21 0.371462,22 0.467257,23 -0.164529,24 0.059441,25 0.542123,26 1.146318,27 -0.699834,28 0.445583,29 0.089208,30 -0.070868,31 -0.653507,32 9}
{0 0.672547,1 0.566293,2 0.099504,3 0.623651,4 -0.165023,5 0.019631,6 0.197861,7 0.548883,8 0.230201,9 0.502979,10 -0.243882,11 0.426515,12 -0.07178,13 0.111807,14 0.353096,15 -0.150926,16 0.465019,17 0.134012,18 -0.107201,19 -0.153563,20 -0.104184,21 0.398965,22 0.393949,23 -0.131909,24 -0.310543,25 0.238417,26 0.306134,27 0.132455,28 0.183762,29 0.206566,30 0.43956,31 -0.350008,32 8}
{0 7.384562,1 4.836856,2 -1.701073,3 4.832568,4 0.956384,5 0.5908,6 -0.702125,7 -0.115275,8 0.333227,9 0.569448,10 -0.336067,11 1.725265,12 0.842635,13 -1.936952,14 -0.800298,15 -0.728453,16 0.409368,17 1.423917,18 0.265159,19 0.127962,20 -0.266573,21 0.603585,22 0.26651,23 -0.09399,24 -0.277672,25 -0.596682,26 0.526393,27 -0.019186,28 -0.325369,29 0.198711,30 0.262165,31 0.578622,32 2}
{0 15.965433,1 -1.844206,2 -0.181318,3 2.045641,4 0.402926,5 0.007873,6 1.283098,7 0.217893,8 0.706534,9 -1.571055,10 -1.441712,11 0.133768,12 -0.620819,13 -0.657806,14 1.141688,15 -0.148768,16 -0.058707,17 -0.09874,18 0.388504,19 0.261906,20 0.191265,21 0.417292,22 -0.05847,23 0.56406,24 -0.518703,25 -0.176952,26 0.604992,27 -0.29947,28 0.027087,29 -0.103863,30 0.527274,31 -0.059911,32 6}
{0 16.600508,1 -0.456895,2 -0.718945,3 1.000462,4 -1.725966,5 -1.154363,6 -0.626184,7 -0.585831,8 -0.174368,9 0.135668,10 -1.128043,11 1.61346,12 -1.053874,13 -0.421946,14 0.19825,15 -0.456527,16 -0.320622,17 0.655951,18 -0.296964,19 0.444833,20 0.296047,21 0.422991,22 0.013592,23 -0.114793,24 -0.474457,25 -0.210279,26 0.308463,27 0.076692,28 -0.158603,29 0.431802,30 0.111135,31 -0.587647}
{0 10.78838,1 -3.13295,2 0.43093,3 0.653136,4 -0.976384,5 0.014096,6 1.168284,7 0.126327,8 1.003164,9 -0.548636,10 0.620597,11 1.256757,12 0.424946,13 -0.764177,14 0.076845,15 -0.648372,16 0.477757,17 -0.167264,18 -0.305626,19 1.154698,20 0.495921,21 -0.896649,22 -0.223972,23 0.442554,24 -0.120964,25 -0.201237,26 0.059399,27 -0.246338,28 -0.28491,29 -0.144766,30 -0.413904,31 -0.361954,32 8}
{0 14.237518,1 -1.716376,2 -5.486888,3 2.269853,4 -1.748071,5 -1.464074,6 -0.995119,7 -0.322387,8 1.218307,9 0.162188,10 -1.044649,11 0.087508,12 -0.730736,13 -0.482543,14 0.197495,15 -0.880398,16 0.528584,17 0.733339,18 0.253278,19 0.050802,20 0.430395,21 0.411055,22 0.098779,23 -0.302819,24 -0.551017,25 0.39314,26 -0.784794,27 0.210141,28 -0.14351,29 0.150358,30 -0.017922,31 0.141151}
{0 11.765203,1 -6.837296,2 -4.448547,3 1.936992,4 -1.462568,5 -2.249445,6 -0.783223,7 0.164513,8 1.106269,9 0.481453,10 -1.027927,11 0.14413,12 -0.478638,13 -0.019403,14 0.227328,15 -1.165323,16 0.614882,17 0.605775,18 0.15005,19 -0.067863,20 0.591876,21 0.533564,22 0.052221,23 -0.151301,24 -0.313977,25 0.072739,26 -0.799656,27 -0.092558,28 -0.015795,29 -0.528393,30 0.124058,31 0.523101}
{0 4.313584,1 -7.643378,2 3.123315,3 5.438213,4 -3.1714,5 1.415946,6 -0.507702,7 -1.118177,8 1.148596,9 -0.711245,10 -0.598389,11 1.329072,12 0.269113,13 -0.723336,14 -0.378975,15 0.766401,16 -0.058707,17 -0.197269,18 1.029712,19 0.350051,20 -0.495625,21 -0.153467,22 -0.285603,23 -0.366137,24 -0.19856,25 0.453477,26 0.064613,27 0.37246,28 -0.634998,29 -0.160162,30 0.797909,31 -0.279301,32 10}
{0 2.281822,1 -3.560435,2 -0.898887,3 2.095915,4 -1.090933,5 -2.341756,6 -0.196944,7 -0.441977,8 -0.121052,9 -0.806272,10 -0.028871,11 0.438995,12 -0.273056,13 -0.783361,14 0.947905,15 -0.817481,16 0.459578,17 0.118009,18 -0.361539,19 0.662913,20 0.034036,21 0.386901,22 0.318744,23 0.435671,24 0.157277,25 -0.017405,26 0.631565,27 0.343438,28 0.442508,29 0.030969,30 -0.078243,31 -0.273648,32 7}
{0 15.629631,1 1.98238,2 0.54445,3 2.774582,4 2.127728,5 -1.667031,6 -1.198799,7 -1.742496,8 1.439462,9 1.072854,10 0.088914,11 0.040249,12 0.669169,13 -0.365601,14 0.526485,15 0.240022,16 -0.502653,17 -0.602405,18 -0.156458,19 0.043915,20 0.074129,21 0.069198,22 -0.004888,23 0.144295,24 -0.257071,25 -0.025931,26 0.498137,27 0.221441,28 -0.092805,29 -0.080899,30 -0.533717,31 -0.081146,32 5}
{0 0.664247,1 0.213119,2 -0.213195,3 0.266905,4 -0.488947,5 0.154872,6 -0.157356,7 0.310998,8 -0.171703,9 0.04636,10 -0.092882,11 0.234097,12 -0.264375,13 0.004476,14 0.191014,15 0.033993,16 0.048427,17 -0.208846,18 -0.134099,19 0.147015,20 0.005002,21 -0.049667,22 -0.179475,23 0.002613,24 -0.040366,25 -0.055214,26 0.234589,27 -0.110653,28 0.063642,29 0.027896,30 0.091761,31 0.080811,32 3}
{0 4.915713,1 3.977832,2 1.791022,3 1.92528,4 -1.276405,5 -1.901733,6 0.825603,7 0.199068,8 0.592155,9 0.169666,10 0.240287,11 -0.061042,12 -0.612539,13 0.113223,14 -0.10264,15 0.523502,16 0.619267,17 -0.003925,18 0.477525,19 0.69893,20 -0.698501,21 0.464387,22 -0.304864,23 -0.211644,24 -0.344414,25 -0.392863,26 -0.19218,27 -0.248097,28 -0.34521,29 -0.331468,30 0.420892,31 -0.063973,32 4}
{0 2.910974,1 -5.37258,2 0.101364,3 3.55741,4 -1.826574,5 -1.993235,6 -0.385392,7 -0.89984,8 0.436,9 -0.700158,10 -0.443015,11 0.49343,12 0.154865,13 -0.977566,14 0.842499,15 -0.486247,16 0.423258,17 -0.363198,18 -0.406415,19 0.135006,20 -0.19236,21 0.465436,22 -0.312304,23 0.975796,24 -0.035391,25 0.176198,26 0.221202,27 -0.078674,28 0.515162,29 0.016338,30 0.024085,31 -0.496592,32 7}
{0 12.852824,1 -3.045516,2 0.213908,3 0.775246,4 -2.29487,5 -1.195226,6 -1.121615,7 0.402143,8 1.14501,9 0.119362,10 0.739404,11 0.264987,12 0.094264,13 -0.708037,14 0.174742,15 -0.157605,16 0.916048,17 0.260473,18 0.25823,19 0.419554,20 0.189915,21 0.46385,22 -0.517866,23 0.366089,24 -0.353371,25 -0.185117,26 1.141897,27 0.092357,28 -0.051548,29 0.009566,30 0.569469,31 -0.23272,32 4}
{0 6.22196,1 5.470897,2 1.478138,3 3.212298,4 -2.027979,5 -1.625017,6 0.265436,7 0.918623,8 -0.199397,9 0.163908,10 0.305036,11 1.859758,12 -0.57255,13 -0.402675,14 -0.041201,15 0.562269,16 0.047263,17 -0.894424,18 -0.039118,19 -0.541634,20 0.624993,21 0.049206,22 0.319138,23 0.723015,24 -0.938267,25 0.090001,26 0.680127,27 -0.296504,28 0.49356,29 -0.242279,30 0.499731,31 -0.064643,32 3}
